id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
exp-1,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000191,0.013710,98.6,5230,4094,9,8,8,7,8,"Router response is accurate and includes helpful code examples, but the benchmark is more concise and adds practical use-case guidance that better serves understanding.",""
exp-2,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000142,0.021960,99.4,2946,6184,8,6,7,6,7,"Router covers core differences accurately but lacks concrete examples of declaration merging and doesn't provide practical guidance on when to use each, making it less actionable than the benchmark.",""
exp-3,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000219,0.026340,99.2,5604,6680,9,7,9,7,8,"Router explains the core concept clearly with a good example, but misses important caveats about JSON.stringify limitations that the benchmark highlights.",""
edit-1,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000129,0.013425,99.0,1565,2115,10,10,10,10,10,"Router response is identical to benchmark—all three occurrences of 'x' correctly renamed to 'count' with no errors or omissions.",""
edit-2,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000170,0.020355,99.2,2240,3118,10,10,9,8,9,"Router response is correct and complete with proper JSDoc syntax; benchmark's description is slightly more precise about debounce semantics (mentions 'since last invocation'), but both are high-quality and functionally equivalent.",""
edit-3,simple_edit,simple_edit,2,openai/gpt-4o-mini,mid,0.000129,0.012210,98.9,1347,2300,8,6,7,5,6,"Router's code works but makes an unnecessary assumption about future modifications; benchmark correctly identifies that all variables should be const since none are actually reassigned in the given code.",""
ui-1,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000211,0.038355,99.4,4028,6236,8,6,7,6,7,"Router response works correctly and covers basics, but lacks disabled state handling, has weaker accessibility focus ring styling, and uses less semantic HTML structure compared to benchmark.",""
ui-2,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000125,0.015000,99.2,1593,2896,10,10,9,9,9,"Router response is functionally identical and correct, with only minor style differences (single vs double quotes, formatting) that don't affect functionality.",""
ui-3,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000122,0.017760,99.3,1435,2775,9,7,8,7,8,"Router response correctly implements hover and focus styles with proper Tailwind classes, but misses smooth transitions and uses a lighter focus ring color than the benchmark's more accessible choice.",""
test-1,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000369,0.045795,99.2,6191,6095,7,6,6,5,6,"Router covers core cases but includes a problematic test for non-numeric size that the function doesn't actually validate, lacks organized test grouping, and misses some boundary cases like size=1 and single-element arrays that benchmark includes.",""
test-2,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000342,0.109335,99.7,5872,13917,7,6,8,5,6,"Router covers basic cases well with clear structure, but misses important valid email patterns (plus addressing, dots, numbers, hyphens) and several invalid edge cases (consecutive dots, leading/trailing dots, missing TLD, type checking) that benchmark includes.",""
test-3,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000287,0.054315,99.5,4491,6995,8,7,7,7,7,"Router covers core async error cases well but misses empty string edge case, lacks explicit mock restoration, and doesn't verify fetch call arguments.",""
bug-1,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000201,0.019965,99.0,1852,3129,10,10,10,10,10,"Router response correctly identifies the root cause, provides the exact fix needed, and includes clear explanation with proper diff formatting.",""
bug-2,local_bug_fix,local_bug_fix,4,google/gemini-2.5-pro,strong,0.005880,0.026520,77.8,5709,4384,9,8,9,8,8,"Router correctly identifies and fixes the race condition with a promise-chain mutex pattern, but awaits the lock unnecessarily inside the function rather than returning it, and the explanation could be slightly more concise.",""
